Using launch settings from src\PoLocalCompare.Api\Properties\launchSettings.json...
Building...
[10:12:55 INF] Ensured Azure Table Storage table exists: Models
[10:12:55 INF] Ensured Azure Table Storage table exists: Duels
[10:12:55 INF] Ensured Azure Table Storage table exists: DuelResults
[10:12:55 INF] Ensured Azure Table Storage table exists: EloHistory
[10:13:44 INF] HTTP GET /health responded 200 in 307.7668 ms
[10:14:01 INF] HTTP GET /index.html responded 200 in 20.4750 ms
[10:14:01 INF] HTTP GET /PoLocalCompare.Client.styles.css responded 200 in 10.2242 ms
[10:14:01 INF] HTTP GET /css/app.css responded 200 in 10.3430 ms
[10:14:01 INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 12.4149 ms
[10:14:01 INF] HTTP GET /js/webllm-interop.js responded 200 in 0.5959 ms
[10:14:01 INF] HTTP GET /_content/Radzen.Blazor/css/dark.css responded 200 in 13.6349 ms
[10:14:01 INF] HTTP GET /js/util.js responded 200 in 14.9361 ms
[10:14:01 INF] HTTP GET /_framework/blazor.webassembly.zxhwjtv6sc.js responded 200 in 28.7650 ms
[10:14:01 INF] HTTP GET /favicon.png responded 200 in 0.9399 ms
[10:14:01 INF] HTTP GET /_framework/dotnet.ntw74e9pu5.js responded 200 in 90.9977 ms
[10:14:01 INF] HTTP GET /_content/Microsoft.DotNet.HotReload.WebAssembly.Browser/Microsoft.DotNet.HotReload.WebAssembly.Browser.99zm1jdh75.lib.module.js responded 200 in 13.6387 ms
[10:14:01 INF] HTTP GET /_framework/System.Runtime.InteropServices.JavaScript.ythr5w8c2e.wasm responded 200 in 8.3256 ms
[10:14:01 INF] HTTP GET /_framework/PoLocalCompare.Shared.d3buir9tsi.pdb responded 200 in 25.6948 ms
[10:14:01 INF] HTTP GET /_framework/PoLocalCompare.Client.0qoongoe0s.pdb responded 200 in 11.0761 ms
[10:14:01 INF] HTTP GET /_framework/dotnet.runtime.peu2mfb29t.js responded 200 in 46.6463 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Authorization.y0sndbe2xe.wasm responded 200 in 7.8836 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Components.Forms.gorw8iqj27.wasm responded 200 in 7.4155 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Components.09qh35fcip.wasm responded 200 in 13.2975 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Components.Web.8xg9el10sq.wasm responded 200 in 8.2824 ms
[10:14:01 INF] HTTP GET /_framework/dotnet.native.53ez3dx5uy.wasm responded 200 in 68.9591 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Connections.Abstractions.sxxybpen1d.wasm responded 200 in 9.2593 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Http.Connections.Client.d7jcjeqai6.wasm responded 200 in 8.4635 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Components.WebAssembly.bj9oxfg9cx.wasm responded 200 in 10.6830 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Metadata.rgu4qwxn86.wasm responded 200 in 6.7789 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.Http.Connections.Common.n3e96u42mc.wasm responded 200 in 7.5660 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.SignalR.Client.i1jj8eiwy0.wasm responded 200 in 5.9627 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.SignalR.Client.Core.9nvj6skbhu.wasm responded 200 in 8.7232 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.SignalR.Protocols.Json.dh0x4273ng.wasm responded 200 in 7.3328 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.DotNet.HotReload.WebAssembly.Browser.v5huyml5sc.wasm responded 200 in 7.3648 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.AspNetCore.SignalR.Common.fu6pvv9aaf.wasm responded 200 in 7.3334 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Configuration.ls9u3wlkav.wasm responded 200 in 7.9258 ms
[10:14:01 INF] HTTP GET /_framework/System.Private.CoreLib.koxlwnosh6.wasm responded 200 in 85.1034 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Configuration.FileExtensions.s7d9lqhx2j.wasm responded 200 in 6.3137 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Configuration.Abstractions.4wl54mcbny.wasm responded 200 in 6.5406 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Configuration.Binder.miz8ol386m.wasm responded 200 in 6.6532 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Configuration.Json.weuwc2nchg.wasm responded 200 in 9.3616 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Diagnostics.Abstractions.ldo4u1l3de.wasm responded 200 in 5.8036 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.DependencyInjection.Abstractions.8pvxjyp0o1.wasm responded 200 in 6.0882 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Diagnostics.mhqc8e7pzx.wasm responded 200 in 6.0883 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.DependencyInjection.5tzvwbi8co.wasm responded 200 in 7.3838 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.FileProviders.Abstractions.rb974yjmax.wasm responded 200 in 6.1750 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Features.qc4oop4dbt.wasm responded 200 in 10.5059 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.FileSystemGlobbing.w6wlsluc19.wasm responded 200 in 5.8724 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.FileProviders.Physical.megzh68xf4.wasm responded 200 in 6.4428 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Logging.87ekqxeo3a.wasm responded 200 in 10.2902 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Options.ConfigurationExtensions.lr1zv6h3in.wasm responded 200 in 6.0091 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Primitives.9g1xy6wvar.wasm responded 200 in 6.1016 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Options.toph8h75gu.wasm responded 200 in 6.4767 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Logging.Abstractions.60456wql8i.wasm responded 200 in 6.5349 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Extensions.Validation.fejvxfp9cz.wasm responded 200 in 6.9914 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.JSInterop.WebAssembly.rckyrl71lm.wasm responded 200 in 6.0749 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.JSInterop.9do6y9xojp.wasm responded 200 in 6.5613 ms
[10:14:01 INF] HTTP GET /_framework/System.Linq.Dynamic.Core.4vazbp99me.wasm responded 200 in 8.4437 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.VisualBasic.91iw3j3d9p.wasm responded 200 in 6.8137 ms
[10:14:01 INF] HTTP GET /_framework/dotnet.native.ykrnppwhq2.js responded 200 in 139.2961 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.CSharp.452y5fjxmv.wasm responded 200 in 12.8371 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Win32.Primitives.2mjytoh92q.wasm responded 200 in 7.3119 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.VisualBasic.Core.re3geseai5.wasm responded 200 in 11.2963 ms
[10:14:01 INF] HTTP GET /_framework/Radzen.Blazor.sliewrggq9.wasm responded 200 in 23.7351 ms
[10:14:01 INF] HTTP GET /_framework/System.Buffers.m4yhcvz2y2.wasm responded 200 in 6.9128 ms
[10:14:01 INF] HTTP GET /_framework/Microsoft.Win32.Registry.yz8nt3ycsq.wasm responded 200 in 9.2004 ms
[10:14:01 INF] HTTP GET /_framework/System.AppContext.uwq3fpef1w.wasm responded 200 in 8.6318 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.Concurrent.1zv6wuzklu.wasm responded 200 in 10.1742 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.Immutable.6uzpuv4o5d.wasm responded 200 in 11.2977 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.63jrcion39.wasm responded 200 in 6.6346 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.Specialized.84wojkejb4.wasm responded 200 in 10.3486 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.Annotations.cjsvkufomv.wasm responded 200 in 10.5777 ms
[10:14:01 INF] HTTP GET /_framework/System.Collections.NonGeneric.k5rgagff9o.wasm responded 200 in 12.9600 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.EventBasedAsync.en4q13ibd5.wasm responded 200 in 7.7692 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.DataAnnotations.vpng0qt4u6.wasm responded 200 in 9.2965 ms
[10:14:01 INF] HTTP GET /_framework/System.ComponentModel.Primitives.u0y5oi3qdg.wasm responded 200 in 5.2282 ms
[10:14:02 INF] HTTP GET /_framework/System.ComponentModel.m11rh1qn2x.wasm responded 200 in 5.8791 ms
[10:14:02 INF] HTTP GET /_framework/System.Configuration.j8qjkqg593.wasm responded 200 in 5.5195 ms
[10:14:02 INF] HTTP GET /_framework/System.Core.ickp29885z.wasm responded 200 in 5.0893 ms
[10:14:02 INF] HTTP GET /_framework/System.Console.x9at0eh4vs.wasm responded 200 in 5.8078 ms
[10:14:02 INF] HTTP GET /_framework/System.Data.DataSetExtensions.904tnen1ot.wasm responded 200 in 6.0452 ms
[10:14:02 INF] HTTP GET /_framework/System.ComponentModel.TypeConverter.e2hbv9lola.wasm responded 200 in 14.1970 ms
[10:14:02 INF] HTTP GET /_framework/System.Data.0h75nr7qqd.wasm responded 200 in 6.1608 ms
